MWT,MF,PARENT_MWT,SMILES,SUPPLIER_NAME,CATALOG_NUMBER,PRICE_CODE,CAS,CHEMICAL_NAME,MFCD,EMOLECULES_ID
324.36,C19H17FN2O2,324.36,CCOc1cc(nc2ccc(NC(C)=O)cc12)-c1ccc(F)cc1,,0,,,,,32717876
261.34,C14H15NO2S,261.34,CS(=O)(=O)c1cccc(c1)C(N)c1ccccc1,,0,,,,MFCD09817373,36910921
226.28,C15H14O2,226.28,COc1ccc(cc1C=O)-c1cccc(C)c1,,0,,,,,38033035
211.31,C15H17N,211.31,Cc1cccc(c1)-c1ccc(CN)cc1C,,0,,,,MFCD21783045,41979126
222.69,C7H10N2O2S:1.00ClH,186.23,Cl.CS(=O)(=O)Nc1cccc(N)c1,,0,,,,MFCD11519399,43482549
399.44,C20H18FN3O3S,399.44,Cc1ccc(o1)C1=NN(C(C1)c1ccc(F)cc1)c1ccc(cc1)S(N)(=O)=O,,0,,,,,48610056
325.45,C24H23N,325.45,CN(C)c1ccccc1C=C1c2ccccc2CCc2ccccc12,,0,,,,MFCD27952647,49843281
325.45,C24H23N,325.45,,,0,,,,,49843283
325.45,C24H23N,325.45,,,0,,,,,49843283
325.45,C24H23N,325.45,CN(C)c1cccc(C=C2c3ccccc3CCc3ccccc23)c1,,0,,,,MFCD27952648,49843283
325.45,C24H23N,325.45,,,0,,,,,49843285
325.45,C24H23N,325.45,CN(C)c1ccc(C=C2c3ccccc3CCc3ccccc23)cc1,,0,,,,MFCD27952649,49843285
486.38,C22H20BrN3O3S,486.38,COc1cccc(c1)C1=NN(C(C1)c1ccc(Br)cc1)c1ccc(cc1)S(N)(=O)=O,,0,,,,MFCD28009507,50428149
282.26,C15H13F3O2,282.26,CCOC(=O)Cc1ccc2c(cccc2c1)C(F)(F)F,,0,,,,MFCD18414546,53989349
404.48,C20H24N2O5S,404.48,CCCOc1c(OC)cccc1C1N2C(=O)CSC2=NC(C)=C1C(=O)OCC,,0,,,,MFCD30707349,54853124
260.31,C13H12N2O2S,260.31,Cn1c2ccccc2c2cc(ccc12)S(N)(=O)=O,,0,,,,MFCD29762920,75509390
331.43,C18H21NO3S,331.43,Cc1cc(C)c(c(C)c1)S(=O)(=O)N[C@@H]1[C@H](O)Cc2ccccc12,,0,,,,,227981948
286.3,C14H17F3N2O,286.3,CC(C)(N)CNC(=O)\C=C\c1cccc(c1)C(F)(F)F,,0,,,,,301789149
244.26,C15H13FO2,244.26,COc1ccc(cc1C=O)-c1ccc(F)c(C)c1,,0,,,,,314068385
242.27,C15H14O3,242.27,COc1cccc(c1)-c1ccc(OC)c(C=O)c1,,0,,,,,315211689
210.28,C15H14O,210.28,Cc1cccc(c1)-c1ccc(C=O)cc1C,,0,,,,,315560135
331.43,C18H21NO3S,331.43,Cc1cc(C)c(c(C)c1)S(=O)(=O)N[C@H]1[C@@H](O)Cc2ccccc12,,0,,,,,317503667
260.26,C13H15F3O2,260.26,CCOc1cc(C(C)=O)c(cc1CC)C(F)(F)F,,0,,,,,317552247
