MWT,MF,PARENT_MWT,SMILES,SUPPLIER_NAME,CATALOG_NUMBER,PRICE_CODE,CAS,CHEMICAL_NAME,MFCD,EMOLECULES_ID
334.38,C19H18N4O2,334.38,CCOC(=O)C1=C(C)Nc2nc3ccccc3n2C1c1ccncc1,ChemDiv SC,7695,,,"ethyl 2-methyl-4-(pyridin-4-yl)-1,4-dihydropyrimido[1,2-a]benzimidazole-3-carboxylate",,1828792
347.42,C21H21N3O2,347.42,CCOC(=O)C1=C(C)Nc2nc3ccccc3n2C1c1ccc(C)cc1,ChemDiv SC,7695,,,"ethyl 2-methyl-4-(4-methylphenyl)-1,4-dihydropyrimido[1,2-a]benzimidazole-3-carboxylate",,1828794
347.42,C21H21N3O2,347.42,CCOC(=O)C1=C(C)Nc2nc3ccccc3n2C1c1cccc(C)c1,ChemDiv SC,7695,,,"ethyl 2-methyl-4-(3-methylphenyl)-1,4-dihydropyrimido[1,2-a]benzimidazole-3-carboxylate",,1828810
367.83,C20H18ClN3O2,367.83,CCOC(=O)C1=C(C)Nc2nc3ccccc3n2C1c1cccc(Cl)c1,ChemDiv SC,7695,,,"ethyl 4-(3-chlorophenyl)-2-methyl-1,4-dihydropyrimido[1,2-a]benzimidazole-3-carboxylate",,1828812
347.42,C21H21N3O2,347.42,CCOC(=O)C1=C(C)Nc2nc3ccccc3n2C1c1ccccc1C,ChemDiv SC,7695,,,"ethyl 2-methyl-4-(2-methylphenyl)-1,4-dihydropyrimido[1,2-a]benzimidazole-3-carboxylate",,1828818
367.83,C20H18ClN3O2,367.83,CCOC(=O)C1=C(C)Nc2nc3ccccc3n2C1c1ccccc1Cl,ChemDiv SC,7695,,,"ethyl 4-(2-chlorophenyl)-2-methyl-1,4-dihydropyrimido[1,2-a]benzimidazole-3-carboxylate",,1828820
351.38,C20H18FN3O2,351.38,CCOC(=O)C1=C(C)Nc2nc3ccccc3n2C1c1ccccc1F,ChemDiv SC,7695,,,"ethyl 4-(2-fluorophenyl)-2-methyl-1,4-dihydropyrimido[1,2-a]benzimidazole-3-carboxylate",,1828822
320.35,C18H16N4O2,320.35,COC(=O)C1=C(C)Nc2nc3ccccc3n2C1c1cccnc1,ChemDiv SC,8561,,,"methyl 2-methyl-4-(pyridin-3-yl)-1,4-dihydropyrimido[1,2-a]benzimidazole-3-carboxylate",,1833889
339.41,C18H17N3O2S,339.41,COC(=O)C1=C(C)Nc2nc3ccccc3n2C1c1sccc1C,ChemDiv SC,8137,,,"methyl 2-methyl-4-(3-methylthiophen-2-yl)-1,4-dihydropyrimido[1,2-a]benzimidazole-3-carboxylate",,1833891
334.38,C19H18N4O2,334.38,CCOC(=O)C1=C(C)Nc2nc3ccccc3n2C1c1cccnc1,ChemDiv SC,7695,,,"ethyl 2-methyl-4-(pyridin-3-yl)-1,4-dihydropyrimido[1,2-a]benzimidazole-3-carboxylate",,1835088
