experiment,batch,plate_id,well.name,treatment_type,Stimulant,Stimulant dose,Stimulant unit,Treatment,Treatment concentration,Treatment unit,Treatment 2,Treatment 2 concentration,Treatment 2 unit,obj.Mean(area).um2.meas,dmso_median_raw,fsk_2_5uM_median_raw,normalized_cyst_swelling_pct
compound_exploration,4042,1,L10,treatment,FSK,2.5,uM,Z318400112,0.1,uM,DMSO,0.1,pct,3050.722,1631.0785,3117.0,95.53960286596568
compound_exploration,4042,1,L11,treatment,FSK,2.5,uM,Z318400112,0.1,uM,Aldosterone,1.0,uM,2580.012,1631.0785,3117.0,63.86161718502627
compound_exploration,4042,1,L12,treatment,FSK,2.5,uM,Z318400112,0.1,uM,Aldosterone,1.0,uM,2558.917,1631.0785,3117.0,62.44195941710244
compound_exploration,4042,1,L13,treatment,FSK,2.5,uM,Z90308949,0.1,uM,DMSO,0.1,pct,3184.699,1631.0785,3117.0,104.55602802705258
compound_exploration,4042,1,L14,treatment,FSK,2.5,uM,Z90308949,0.1,uM,DMSO,0.1,pct,3152.795,1631.0785,3117.0,102.40894286811248
compound_exploration,4042,1,L15,treatment,FSK,2.5,uM,Z90308949,0.1,uM,Aldosterone,1.0,uM,2574.258,1631.0785,3117.0,63.47438273152382
compound_exploration,4042,1,L16,treatment,FSK,2.5,uM,Z90308949,0.1,uM,Aldosterone,1.0,uM,2690.898,1631.0785,3117.0,71.32405715914335
compound_exploration,4042,1,L17,treatment,FSK,2.5,uM,Z95680027,0.1,uM,DMSO,0.1,pct,3109.811,1631.0785,3117.0,99.51619247719346
compound_exploration,4042,1,L18,treatment,FSK,2.5,uM,Z95680027,0.1,uM,DMSO,0.1,pct,2984.315,1631.0785,3117.0,91.07052425043987
compound_exploration,4042,1,L19,treatment,FSK,2.5,uM,Z95680027,0.1,uM,Aldosterone,1.0,uM,2625.399,1631.0785,3117.0,66.91608540558838
compound_exploration,4042,1,L20,treatment,FSK,2.5,uM,Z95680027,0.1,uM,Aldosterone,1.0,uM,2682.56,1631.0785,3117.0,70.76292388258733
compound_exploration,4042,1,L21,stim_only,FSK,2.5,uM,DMSO,0.1,pct,DMSO,0.1,pct,3101.062,1631.0785,3117.0,98.92739959681583
compound_exploration,4042,1,L22,stim_only,FSK,2.5,uM,DMSO,0.1,pct,DMSO,0.1,pct,3178.697,1631.0785,3117.0,104.15210359362861
compound_exploration,4042,1,M03,tox_ctrl,FSK,2.5,uM,staurosporin,1.0,uM,DMSO,0.1,pct,1218.158,1631.0785,3117.0,-27.78885021853444
compound_exploration,4042,1,M04,tox_ctrl,FSK,2.5,uM,staurosporin,1.0,uM,DMSO,0.1,pct,1214.252,1631.0785,3117.0,-28.05171740229885
compound_exploration,4042,1,M05,treatment,FSK,2.5,uM,Benidipine,0.001,uM,DMSO,0.1,pct,3251.574,1631.0785,3117.0,109.05660224984967
compound_exploration,4042,1,M06,treatment,FSK,2.5,uM,Benidipine,0.001,uM,DMSO,0.1,pct,3219.135,1631.0785,3117.0,106.87351249712722
compound_exploration,4042,1,M07,treatment,FSK,2.5,uM,Benidipine,0.001,uM,Aldosterone,1.0,uM,2508.807,1631.0785,3117.0,59.06964129666337
compound_exploration,4042,1,M08,treatment,FSK,2.5,uM,Benidipine,0.001,uM,Aldosterone,1.0,uM,2656.058,1631.0785,3117.0,68.97938417339005
compound_exploration,4042,1,M09,treatment,FSK,2.5,uM,Z318400112,0.001,uM,DMSO,0.1,pct,3131.959,1631.0785,3117.0,101.0067153614777
compound_exploration,4042,1,M10,treatment,FSK,2.5,uM,Z318400112,0.001,uM,DMSO,0.1,pct,3199.628,1631.0785,3117.0,105.56072443934623
compound_exploration,4042,1,M11,treatment,FSK,2.5,uM,Z318400112,0.001,uM,Aldosterone,1.0,uM,2420.511,1631.0785,3117.0,53.127470058142364
compound_exploration,4042,1,M12,treatment,FSK,2.5,uM,Z318400112,0.001,uM,Aldosterone,1.0,uM,2512.265,1631.0785,3117.0,59.30235883927919
compound_exploration,4042,1,M13,treatment,FSK,2.5,uM,Z90308949,0.001,uM,DMSO,0.1,pct,3125.561,1631.0785,3117.0,100.57614079882417
compound_exploration,4042,1,M14,treatment,FSK,2.5,uM,Z90308949,0.001,uM,DMSO,0.1,pct,3311.569,1631.0785,3117.0,113.09416412643601
compound_exploration,4042,1,M15,treatment,FSK,2.5,uM,Z90308949,0.001,uM,Aldosterone,1.0,uM,2610.277,1631.0785,3117.0,65.89840042021062
compound_exploration,4042,1,M16,treatment,FSK,2.5,uM,Z90308949,0.001,uM,Aldosterone,1.0,uM,2557.653,1631.0785,3117.0,62.356894358147436
compound_exploration,4042,1,M17,treatment,FSK,2.5,uM,Z95680027,0.001,uM,DMSO,0.1,pct,3141.425,1631.0785,3117.0,101.64376112735432
compound_exploration,4042,1,M18,treatment,FSK,2.5,uM,Z95680027,0.001,uM,DMSO,0.1,pct,3223.149,1631.0785,3117.0,107.14364789795422
compound_exploration,4042,1,M19,treatment,FSK,2.5,uM,Z95680027,0.001,uM,Aldosterone,1.0,uM,2490.205,1631.0785,3117.0,57.81775820593482
compound_exploration,4042,1,M20,treatment,FSK,2.5,uM,Z95680027,0.001,uM,Aldosterone,1.0,uM,2537.962,1631.0785,3117.0,61.03172341203758
compound_exploration,4042,1,M21,tox_ctrl,FSK,2.5,uM,staurosporin,1.0,uM,DMSO,0.1,pct,3271.183,1631.0785,3117.0,110.37625473485645
compound_exploration,4042,1,M22,tox_ctrl,FSK,2.5,uM,staurosporin,1.0,uM,DMSO,0.1,pct,3225.548,1631.0785,3117.0,107.30509653437277
compound_exploration,4042,1,N03,tox_ctrl,FSK,2.5,uM,staurosporin,1.0,uM,DMSO,0.1,pct,1208.066,1631.0785,3117.0,-28.468024724051713
compound_exploration,4042,1,N04,tox_ctrl,FSK,2.5,uM,staurosporin,1.0,uM,DMSO,0.1,pct,1232.153,1631.0785,3117.0,-26.84701042417113
compound_exploration,4042,1,N05,treatment,FSK,2.5,uM,Benidipine,0.001,uM,DMSO,0.1,pct,3177.224,1631.0785,3117.0,104.05297318869134
compound_exploration,4042,1,N06,treatment,FSK,2.5,uM,Benidipine,0.001,uM,DMSO,0.1,pct,3028.326,1631.0785,3117.0,94.03239000175985
