QSPRID,qrySmiles,hitSmiles,anonIdx,mw,id,qry_molecule_chembl_id,target_id,provider,QSPRID,predictions,nn_max,nn_min,nn_mean,nn_sum,n_chiral_centers,logP,lipinski_violations,nn_index,nn_smiles,tsne1,tsne2
VS_set_ADORA1_01231,Nc1nc(Cl)nc2c1ncn2C12CC(O)C(O)C1C2,N[C@@H]1CC[C@H]([C@H]([C@@H]1O)O)n2cnc3c2ncnc3N,B21R3.385583,264.284,44420586,CHEMBL3955407,ADORA1,emolecules,VS_set_ADORA1_01231,7.212706,0.05813953488372093,0.050314465408805034,0.05462949577922738,0.5462949577922738,4,-1.2074999999999996,1,2247,Nc1ncnc2c1ncn2C1OC(C(=O)NC2CC2)C(O)C1O,-2.6129823,7.1868706
VS_set_ADORA1_01233,Nc1nc(Cl)nc2c1ncn2C12CC(O)C(O)C1C2,Nc1ncnc2c1ncn2[C@@H]3C[C@@H]([C@H]([C@H]3O)O)CO,B21R3.64521,265.269,50421731,CHEMBL3955407,ADORA1,emolecules,VS_set_ADORA1_01233,7.0971622,0.056199821587867974,0.047058823529411764,0.05345721344446212,0.5345721344446213,4,-1.3164000000000002,1,3761,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,-2.5882034,7.717354
VS_set_ADORA1_01384,COc1cccc(CNc2nc(N)c3nc(-c4ccc(C)o4)sc3n2)c1,COc1cccc(c1)CCNc2nc(cc(n2)NCc3ccco3)C,B27R3.93803255,338.404,184341663,CHEMBL4165484,ADORA1,emolecules,VS_set_ADORA1_01384,7.186831,0.11091549295774648,0.08711111111111111,0.10643776742957511,1.0643776742957511,0,3.6533200000000017,0,3002,COc1cccc(CCNc2nc(N)c3nc(-c4ccco4)sc3n2)c1,8.188548,11.538724
VS_set_ADORA1_01486,Nc1nc2ccc(Cl)cc2n2c(=O)c(-c3ccc(Cl)cc3)nn12,Oc1cn(nc1c2ccccc2)c3nc4ccccc4[nH]3,B24R4.2011716,276.293,44603904,CHEMBL235076,ADORA1,emolecules,VS_set_ADORA1_01486,7.013535,0.1459265890778872,0.14058355437665782,0.1442074234707445,1.442074234707445,0,3.121200000000001,0,2313,CCC1CN2C(=O)N(C)c3nc(-c4ccccc4)[nH]c3C2=N1,1.1081955,-3.000252
VS_set_ADORA1_01489,Nc1nc2ccc(Cl)cc2n2c(=O)c(-c3ccc(Cl)cc3)nn12,Oc1cn(nc1c2ccc(cc2)Cl)c3ccc(cc3)Cl,B22R3.993619,305.159,50426625,CHEMBL235076,ADORA1,emolecules,VS_set_ADORA1_01489,7.1207156,0.19551569506726457,0.19047619047619047,0.19292115450132502,1.9292115450132503,0,4.551700000000002,0,2221,Nc1nc(Cl)nc2c1ncn2C1C(O)C(O)C2CC21,1.8466375,-2.6935263
VS_set_ADORA1_01495,Nc1nc2ccc(Cl)cc2n2c(=O)c(-c3ccc(Cl)cc3)nn12,COc1ccc(cc1n2nnc(c2N)c3ccc(cc3)Cl)Cl,B24R3.4555444,335.188,6817840,CHEMBL235076,ADORA1,emolecules,VS_set_ADORA1_01495,7.0956,0.141718334809566,0.1349911190053286,0.1393870555043171,1.393870555043171,0,3.831900000000002,0,1097,CN1C(=O)C2Nc3cccnc3C2N(C)C1=O,0.33546558,7.6086044
VS_set_ADORA1_01520,Nc1nc2ccc(Cl)cc2n2c(=O)c(-c3ccc(Cl)cc3)nn12,Nn1c2ccccc2n3c1nc(c3)c4ccccc4,B22R4.308170,248.283,2927031,CHEMBL235076,ADORA1,emolecules,VS_set_ADORA1_01520,7.056295,0.17473118279569894,0.16820702402957485,0.1731128878547017,1.731128878547017,0,2.6698000000000004,0,3998,O=c1c(-c2ccccc2)nnc2n(-c3ccccc3)c3ccccc3n12,-7.421718,1.5078156
VS_set_ADORA1_01706,Nc1nc(-c2cc[nH]n2)c3cnn(Cc4ccccc4F)c3n1,Nc1nc(c(c(n1)c2cccs2)C#N)SCc3ccccc3,B24R3.2274830,324.426,27495319,CHEMBL267200,ADORA1,emolecules,VS_set_ADORA1_01706,7.3958697,0.15803571428571428,0.1407942238267148,0.15204104819680578,1.5204104819680577,0,3.9512800000000015,0,1290,Nc1nc(-c2cccs2)c2ncn(C(=O)NCc3ccccc3)c2n1,13.266516,-5.9022346
VS_set_ADORA1_01746,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c4ccncc4)[nH]2)cc1,COc1ccc(cc1)c2nc(c([nH]2)c3ccccc3)c4ccccc4,B28R4.3766,326.392,43900617,CHEMBL10,ADORA1,emolecules,VS_set_ADORA1_01746,7.4010954,0.2519607843137255,0.20969337289812068,0.23820152282109994,2.3820152282109994,0,5.419300000000004,1,2129,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,-9.702428,-41.393726
VS_set_ADORA1_01748,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c4ccncc4)[nH]2)cc1,COc1ccc(cc1O)c2nc(c([nH]2)c3ccccc3)c4ccc(cc4)F,B30R4.10410398,360.382,2169189,CHEMBL10,ADORA1,emolecules,VS_set_ADORA1_01748,7.1346087,0.20140721196130168,0.17270992366412213,0.19520804402850667,1.9520804402850667,0,5.264000000000004,1,2129,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,-12.454124,-40.873943
