QSPRID,qrySmiles,hitSmiles,anonIdx,mw,id,qry_molecule_chembl_id,target_id,provider,QSPRID,predictions,nn_max,nn_min,nn_mean,nn_sum,n_chiral_centers,logP,lipinski_violations,nn_index,nn_smiles,tsne1,tsne2
VS_set_NR3C2_00866,CCC(Cc1cc(C)c(OC)c(C)c1)NS(=O)(=O)c1c(C)cc(C)cc1C,CCOc1c(cc(cc1OC)/C=N/NS(=O)(=O)c2c(cc(cc2C)C)C)Br,B28R2.3525096208,455.367,181589000,CHEMBL3094483,NR3C2,emolecules,VS_set_NR3C2_00866,7.0410414,0.15303430079155672,0.14551907719609583,0.15033225992995958,1.5033225992995958,0,4.094060000000003,0,437,CCC(Cc1ccc(OC)c(C)c1C)NS(=O)(=O)c1c(C)cc(C)cc1C,204.4187,-92.81657
VS_set_NR3C2_00881,OC1CCc2c(C=C3c4ccccc4COc4cc(F)ccc43)cccc21,CN(C)c1cccc(c1)C=C2c3ccccc3CCc4c2cccc4,B28R4.37273194,325.447,49843283,CHEMBL3775383;CHEMBL3775383,NR3C2,emolecules,VS_set_NR3C2_00881,7.7950516,0.1551270815074496,0.08301526717557252,0.14200238755189581,1.420023875518958,0,5.4401000000000055,1,449,CS(=O)(=O)Nc1cccc(C=C2c3ccccc3CCc3ccccc32)c1,181.67839,-246.142
VS_set_NR3C2_00892,OC1CCc2c(C=C3c4ccccc4COc4cc(F)ccc43)cccc21,CN(C)Cc1ccccc1NC2c3ccccc3CSc4c2cccc4,B29R4.84553257,360.517,8202142,CHEMBL3775383;CHEMBL3775383,NR3C2,emolecules,VS_set_NR3C2_00892,7.026126,0.11411149825783973,0.1091703056768559,0.11232429426458793,1.1232429426458792,1,5.555400000000005,1,772,CC1CCc2ccccc2N1S(=O)(=O)c1ccc2c(c1)NC(=O)CO2,-77.72928,4.3862762
VS_set_NR3C2_00912,OC1CCc2c(C=C3c4ccccc4COc4cc(F)ccc43)cccc21,Cc1ccc\2c(c1)-c3c(cccc3)/C2=N/c4cccc5c4cccc5,B29R5.1332833,319.399,26815215,CHEMBL3775383;CHEMBL3775383,NR3C2,emolecules,VS_set_NR3C2_00912,7.4053745,0.21762114537444935,0.21220159151193635,0.21487478304057311,2.148747830405731,0,6.297720000000004,1,14,CC1=CC(C)(C)Nc2ccc3c(c21)C(c1ccc(C)cc1)Oc1ccccc1-3,163.06793,-49.045418
VS_set_NR3C2_00917,OC1CCc2c(C=C3c4ccccc4COc4cc(F)ccc43)cccc21,CCOC(=O)c1cccc(c1)NC(=O)c2ccccc2OCc3cccc(c3)C,B31R3.138918133,389.445,320406982,CHEMBL3775383;CHEMBL3775383,NR3C2,emolecules,VS_set_NR3C2_00917,7.0919414,0.14943527367506515,0.1387434554973822,0.14666094486852516,1.4666094486852517,0,5.003020000000004,1,325,CCOC(=O)C1=C(C)NC(C)=C(C(C)=O)C1c1cccc2c(=O)cc(C)oc12,-363.1567,64.74657
VS_set_NR3C2_01117,CC1(C)OC(=S)Nc2ccc(NS(=O)(=O)c3cccs3)cc21,CN1C(=O)OCc2c1ccc(c2)NS(=O)(=O)c3ccc(s3)C,B24R3.285073609,338.405,321329669,CHEMBL2181930,NR3C2,emolecules,VS_set_NR3C2_01117,7.045574,0.1264266900790167,0.11964285714285715,0.12349039409068611,1.2349039409068612,0,2.943720000000001,0,324,CC1(C)OC(=S)Nc2ccc(NS(=O)(=O)c3cccs3)cc21,-15.403317,-91.72399
VS_set_NR3C2_01123,CC1(C)OC(=S)Nc2ccc(NS(=O)(=O)c3cccs3)cc21,CCOC(=O)c1ccc(cc1)NS(=O)(=O)c2ccc(s2)Br,B22R2.20499,390.275,1731748,CHEMBL2181930,NR3C2,emolecules,VS_set_NR3C2_01123,7.0732718,0.20088105726872246,0.1836007130124777,0.19672231013837638,1.9672231013837638,0,3.488100000000002,0,211,CCOC(=O)c1ccc(N2N=C(c3ccc(C(=O)O)cc3)CC2c2ccc(F)cc2)cc1,171.96823,215.14586
VS_set_NR3C2_01124,CC1(C)OC(=S)Nc2ccc(NS(=O)(=O)c3cccs3)cc21,CCOC(=O)c1ccc(cc1)NS(=O)(=O)c2ccc(s2)Cl,B22R2.20499,345.824,1505887,CHEMBL2181930,NR3C2,emolecules,VS_set_NR3C2_01124,7.055949,0.20526315789473684,0.18983957219251338,0.20111743963129652,2.011174396312965,0,3.3790000000000022,0,211,CCOC(=O)c1ccc(N2N=C(c3ccc(C(=O)O)cc3)CC2c2ccc(F)cc2)cc1,172.64659,224.79709
VS_set_NR3C2_01140,C=CCOC(C)C1=CC(C)(C)Nc2ccc(-c3cc(F)ccc3OC)cc21,COc1ccc(cc1C(=O)CCC(=O)Nc2c(cccc2C(C)C)C)Cl,B27R2.72498485,373.874,182601108,CHEMBL541908;CHEMBL395506,NR3C2,emolecules,VS_set_NR3C2_01140,7.270854,0.11764705882352941,0.11361665221162186,0.11580765433336708,1.1580765433336708,0,5.382020000000004,1,822,Cc1c(C(=O)Nc2ccc(S(C)(=O)=O)cc2)cc(CC(C)O)n1-c1ccc(Cl)cc1C(F)(F)F,-72.20092,132.6254
VS_set_NR3C2_01197,Cc1nccn1-c1ccc(CNS(=O)(=O)c2ccc(F)cc2F)cc1,CC(NC(=O)c1ccc(cc1F)Br)c2ccc(cc2)n3ccnc3C,B27R3.2916609,402.26,43407483,CHEMBL3086024,NR3C2,emolecules,VS_set_NR3C2_01197,7.2519083,0.13501742160278746,0.12342342342342343,0.1311909138215342,1.311909138215342,1,4.573320000000003,0,404,Cc1cc(C)c(S(=O)(=O)NCc2ccc(-n3ccnc3C)cc2)c(C)c1,52.750156,-211.49017
VS_set_NR3C2_01233,NS(=O)(=O)CC1COc2cc(F)ccc2N1C(=O)c3ccc4cc[nH]c4c3,CN(C)CCCOc1cccnc1NC(=O)c2ccc3cc[nH]c3c2,B27R3.35788419,338.404,321837277,CHEMBL4442787;CHEMBL4442787,NR3C2,emolecules,VS_set_NR3C2_01233,7.002297,0.1269296740994854,0.10471204188481675,0.12229468959725034,1.2229468959725034,0,3.1457000000000006,0,756,NS(=O)(=O)CC1COc2cc(F)ccc2N1C(=O)c1ccc2cc[nH]c2c1,-123.25016,205.78003
VS_set_NR3C2_01441,Nc1cc(Cl)cc(Cl)c1S(=O)(=O)NC(Cc2c[nH]c3ccccc23)C(F)(F)F,Cc1cccc2c1[nH]cc2C(NS(=O)(=O)c3ccc(cc3)Cl)C(Cl)(Cl)Cl,B28R3.7696774,452.184,317674655,CHEMBL3093441,NR3C2,emolecules,VS_set_NR3C2_01441,7.027943,0.10568383658969804,0.08920606601248884,0.10156167153151156,1.0156167153151157,1,5.519520000000002,1,424,Cc1cc(C)c(S(=O)(=O)NC(Cc2c[nH]c3c(C)cccc23)C(F)(F)F)c(C)c1,-19.603836,-125.24395
VS_set_NR3C2_01583,Cc1c(NC2CCCC2(C)O)ccc(C#N)c1Cl,CCC(O)(CC)CNc1ccc(c(c1)Cl)C#N,B17R1.225287,252.74,40134919,CHEMBL3765171;CHEMBL3764185,NR3C2,emolecules,VS_set_NR3C2_01583,7.1342573,0.17422222222222222,0.15384615384615385,0.16883092404823707,1.6883092404823707,0,3.1746800000000013,0,613,Cc1c(NC2CCCCC2(C)O)ccc(C#N)c1Cl,98.20414,7.4370065
VS_set_NR3C2_01666,Cc1cc(F)ccc1-n1nc(C(F)(F)F)cc1-c1cc(Cl)c2c(c1)NC(=O)CO2,CC(C)c1nc(n(n1)c2ccncc2C)Cc3ccc4c(c3)NC(=O)CO4,B30R4.135814711,363.414,32397004,CHEMBL1929041;CHEMBL1929041,NR3C2,emolecules,VS_set_NR3C2_01666,7.1127987,0.08729472774416594,0.07618213660245184,0.08490570056998215,0.8490570056998215,0,3.0158200000000006,0,772,CC1CCc2ccccc2N1S(=O)(=O)c1ccc2c(c1)NC(=O)CO2,-34.710308,-207.9157
VS_set_NR3C2_01669,CS(=O)(=O)Nc1ccc2c(c1)OC1(CCC1)C(=O)N2c1ccc(F)cc1,CS(=O)(=O)Nc1ccc2c(c1)N(CCO2)C(=O)Cc3ccc(cc3)F,B27R3.280352813,364.393,321534817,CHEMBL5187656,NR3C2,emolecules,VS_set_NR3C2_01669,7.297023,0.11800699300699301,0.10695187165775401,0.11503691184089497,1.1503691184089497,0,2.1653000000000002,0,700,CS(=O)(=O)Nc1ccc2c(c1)OC1(CCC1)C(=O)N2c1ccc(F)cc1,-243.63745,-119.96306
VS_set_NR3C2_01671,CS(=O)(=O)Nc1ccc2c(c1)OC1(CCC1)C(=O)N2c1ccc(F)cc1,CS(=O)(=O)Nc1ccc2c(c1)N(CCO2)C(=O)Cc3ccc(cc3)Cl,B27R3.280352813,380.848,321532778,CHEMBL5187656,NR3C2,emolecules,VS_set_NR3C2_01671,7.3873305,0.11436170212765957,0.10780017528483786,0.1116717984453844,1.116717984453844,0,2.6796000000000006,0,672,COC(=O)C(CC1CC1)(c1ccc(Cl)cc1)n1ccc2c(NS(C)(=O)=O)cccc21,-251.69327,-115.67821
VS_set_NR3C2_01673,CS(=O)(=O)Nc1ccc2c(c1)OC1(CCC1)C(=O)N2c1ccc(F)cc1,CS(=O)(=O)Oc1cccc(c1)/C=C/2\SC(=S)N(C2=O)c3ccc(cc3)F,B28R3.514227620,409.479,25939426,CHEMBL5187656,NR3C2,emolecules,VS_set_NR3C2_01673,7.094439,0.15968586387434555,0.15030946065428824,0.15749296751435254,1.5749296751435253,0,3.5699000000000023,0,697,CS(=O)(=O)Nc1ccc2c(c1)OC(c1ccccc1)C(=O)N2c1ccc(F)cc1,-131.50755,-65.69363
VS_set_NR3C2_01682,CS(=O)(=O)Nc1ccc2c(c1)OC1(CCC1)C(=O)N2c1ccc(F)cc1,CCCC(NC(=O)CCC1CCS(=O)(=O)C1)C(=O)Nc2ccc(cc2)F,B27R2.328153547,384.467,328668982,CHEMBL5187656,NR3C2,emolecules,VS_set_NR3C2_01682,7.053551,0.10975609756097561,0.10254163014899212,0.10770590553431081,1.077059055343108,2,2.2640000000000002,0,358,CC(c1ccccc1)N1C(=O)OC(Cc2ccccc2)(C(=O)Nc2ccc(F)cc2)C1=O,-105.05661,139.18137
VS_set_NR3C2_01683,CS(=O)(=O)Nc1ccc2c(c1)OC1(CCC1)C(=O)N2c1ccc(F)cc1,CCC(C)(NC(=O)CCC1CCS(=O)(=O)C1)C(=O)Nc2ccc(cc2)F,B27R2.1887934985,384.467,328675388,CHEMBL5187656,NR3C2,emolecules,VS_set_NR3C2_01683,7.03595,0.112565445026178,0.10798946444249341,0.11053634799239101,1.10536347992391,2,2.2640000000000002,0,358,CC(c1ccccc1)N1C(=O)OC(Cc2ccccc2)(C(=O)Nc2ccc(F)cc2)C1=O,-110.55886,146.56255
