"batch.code","well.name","plate.layout.info.Type","plate.layout.info.Stimulant","plate.layout.info.Stimulant dose","plate.layout.info.Stimulant unit","plate.layout.info.Stimulation solvent","plate.layout.info.Treatment","plate.layout.info.Treatment concentration","plate.layout.info.Treatment unit","plate.layout.info.Treatment solvent","plate.layout.info.Treatment 2","plate.layout.info.Treatment 2 concentration","plate.layout.info.Treatment 2 unit","plate.layout.info.Treatment 2 solvent","ID","obj.Mean(area).um2.meas","obj.Mean(area).meas.npi_plate","Fraction_dead_cells","increase_death_cells_pct","obj.count_corrected.meas"
"4042","H07","treatment","FSK",2.5,"uM","0.1pctDMSO","Finerenone",0.001,"uM","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","4042_1",3123.7,100.05237835649616,0.178,-3.0500000000000025,790
"4042","H08","treatment","FSK",2.5,"uM","0.1pctDMSO","Finerenone",0.001,"uM","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","4042_1",3201.297,105.1810996927456,0.185,-2.3500000000000023,811
"4042","H09","treatment","FSK",2.5,"uM","0.1pctDMSO","Finerenone",0.001,"uM","0.1pctDMSO","Aldosterone",1,"uM","0.1pctDMSO","4042_1",2629.146,67.36758668683365,0.167,-4.150000000000001,819
"4042","H10","treatment","FSK",2.5,"uM","0.1pctDMSO","Finerenone",0.001,"uM","0.1pctDMSO","Aldosterone",1,"uM","0.1pctDMSO","4042_1",2591.965,64.90990007586582,0.179,-2.950000000000003,797
"4042","H11","treatment","FSK",2.5,"uM","0.1pctDMSO","Esaxerenone",0.001,"uM","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","4042_1",3128.829,100.39122536158278,0.173,-3.5500000000000034,811
"4042","H12","treatment","FSK",2.5,"uM","0.1pctDMSO","Esaxerenone",0.001,"uM","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","4042_1",3401.185,118.39125237870512,0.186,-2.2500000000000018,802
"4042","H13","treatment","FSK",2.5,"uM","0.1pctDMSO","Esaxerenone",0.001,"uM","0.1pctDMSO","Aldosterone",1,"uM","0.1pctDMSO","4042_1",2688.719,71.30476577680109,0.157,-5.150000000000002,798
"4042","H14","treatment","FSK",2.5,"uM","0.1pctDMSO","Esaxerenone",0.001,"uM","0.1pctDMSO","Aldosterone",1,"uM","0.1pctDMSO","4042_1",2558.432,62.69414743766563,0.194,-1.4500000000000013,872
"4042","H15","treatment","FSK",2.5,"uM","0.1pctDMSO","Apararenone",0.001,"uM","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","4042_1",3127.769,100.32150375559792,0.185,-2.3500000000000023,821
"4042","H16","treatment","FSK",2.5,"uM","0.1pctDMSO","Apararenone",0.001,"uM","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","4042_1",3169.754,103.096423673797,0.187,-2.150000000000002,793
"4042","H17","treatment","FSK",2.5,"uM","0.1pctDMSO","Apararenone",0.001,"uM","0.1pctDMSO","Aldosterone",1,"uM","0.1pctDMSO","4042_1",2710.081,72.71662829799538,0.178,-3.0500000000000025,806
"4042","H18","treatment","FSK",2.5,"uM","0.1pctDMSO","Apararenone",0.001,"uM","0.1pctDMSO","Aldosterone",1,"uM","0.1pctDMSO","4042_1",2649.973,68.74389118897562,0.188,-2.0500000000000016,767
"4042","H19","tox_ctrl","FSK",2.5,"uM","0.1pctDMSO","staurosporin",1,"uM","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","4042_1",1421.983,-12.414149825630634,0.447,23.849999999999998,473
"4042","H20","tox_ctrl","FSK",2.5,"uM","0.1pctDMSO","staurosporin",1,"uM","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","4042_1",1383.069,-14.985482654353834,0.494,28.549999999999997,483
"4042","H21","stim_only","FSK",2.5,"uM","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","4042_1",2986.83,91.00669719601491,0.185,-2.3500000000000023,812
"4042","H22","stim_only","FSK",2.5,"uM","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","4042_1",3132.418,100.62897603799131,0.186,-2.2500000000000018,832
"4042","I03","solvent_ctrl","DMSO",0.1,"pct","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","4042_1",1646.687,2.436552249153644,0.194,-1.4500000000000013,922
"4042","I04","solvent_ctrl","DMSO",0.1,"pct","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","DMSO",0.1,"pct","0.1pctDMSO","4042_1",1650.832,2.7105581606743123,0.18,-2.8500000000000023,901
